Conference Title,Number of Publications
Proceedings Of The 2002 American Society Of Engineering Education Illinoisindiana Sectional Conference,1
Proceedings Of The Fourth 2017 Acm Conference On Learning  Scale Ls'17,1
Artificial Intelligence In Education,1
Proceedings Of The 22Nd Annual International Conference Of The Ieee Engineering In Medicine And Biology Society Cat No 00Ch37143,1
Proceedings Of The 11Th Computer Science Education Research Conference,1
Proceedings Of The 2018 Conference On Human Information Interaction  Retrieval,1
Proceedings Of The Fifth Annual Acm Conference On Learning At Scale,1
Proceedings Of The Seventh Acm Conference On Learning  Scale,1
Seventh International Learning Analytics  Knowledge Conference Lak'17,1
2021 Ieee World Haptics Conference Whc,1
Proceedings Of The 26Th Acm Conference On Innovation And Technology In Computer Science Education V 2,1
Proceedings Of The 15Th Western Canadian Conference On Computing Education,1
Proceedings Of The Acm On Human-Computer Interaction,1
Proceedings Of The 16Th Annual Joint Conference On Innovation And Technology In Computer Science Education,1
Working Group Reports On Iticse On Innovation And Technology In Computer Science Education,1
Proceedings Of The Asee Ilin Sectional Conference,1
Proceedings Of The 25Th Western Canadian Conference On Computing Education,1
2021 American Control Conference Acc,1
Saltise 2020 Proceedings,1
Edulearn15 Proceedings,1
Learning With Moocs,1
2005 Annual Conference,1
Proceedings Of The 2021 Working Group Reports On Innovation And Technology In Computer Science Education,1
"Proceedings Of The 2023 Conference On Innovation And Technology In Computer Science Education, Iticse 2023, Vol 2",1
Iui 2019 Proceedings,1
Chi 2019 Proceedings Of The 2019 Chi Conference On Human Factors In Computing Systems,1
Icon,1
International Conference On Artificial Intelligence In Education,1
Proceedings Of The 39Th Sigcse Technical Symposium On Computer Science Education,1
2002 Asee Annual Conference,1
Western Conference On Science Education 2015,1
"Proceedings Of The 2019 Research On Equity And Sustained Participation In Engineering, Computing, And Technology Respect",1
Proceedings Of The 23Rd Western Canadian Conference On Computing Education,1
Proceedings Of The Sixth 2019 Acm Conference On Learning  Scale,1
Chi '03 Extended Abstracts On Human Factors In Computing Systems,1
Proceedings Of The 35Th Sigcse Technical Symposium On Computer Science Education,1
Discussions On University Science Teaching Proceedings Of The Western Conference On Science Education,1
Western Conference On Science Education 2019,1
Proceedings Of The 2020 Chi Conference On Human Factors In Computing Systems Chi'20,1
"Proceedings Of The 2019 Acm Sigplan International Symposium On New Ideas, New Paradigms, And Reflections On Programming And Software",1
2012 Gsa Annual Meeting,1
Companion Proceedings Of The 36Th International Conference On Software Engineering,1
Proceedings Of The 33Rd Sigcse Technical Symposium On Computer Science Education,1
Proceedings Of The 40Th International Conference On Software Engineering Software Engineering Education And Training,1
2014 Physics Education Research Conference,1
Proceedings Of The 45Th Acm Technical Symposium On Computer Science Education,1
Proceedings Of The 6Th International Conference On Intelligent User Interfaces,1
Adjunct Proceedings Of The 28Th Annual Acm Symposium On User Interface Software  Technology,1
Proceedings Of The 24Th Australasian Computing Education Conference,1
2021 Acmieee Joint Conference On Digital Libraries Jcdl,1
Proceedings Of The 2020 Acm Sigplan Symposium On Splash-E,1
Proceedings Of The 2020 Acm Conference On International Computing Education Research,1
Proceedings Of The 2020 Acm Designing Interactive Systems Conference Dis 2020,1
Proceedings Of The Iupap International Conference On Physics Education 2022,1
"Artificial Intelligence In Education Aied 2021, Pt I",1
International Working Group On Educational Data Mining,1
Anais Do Workshop De Informática Na Escola Wie,1
Proceedings Of The 33Rd Annual Acm Conference On Human Factors In Computing Systems,1
Agu Fall Meeting 2021,1
Proceedings Of The 19Th Acm Conference On Computer-Supported Cooperative Work  Social Computing,1
Proceedings Of The 52Nd Acm Technical Symposium On Computer Science Education,1
Proceedings Of The 2023 Chi Conference On Human Factors In Computing Systems Chi 2023,1
Proceedings Of The 41St Acm Technical Symposium On Computer Science Education,1
34Th International Conference On Improving University Teaching,1
Bridging The Gap Empowering And Educating Todays Learners In Statistics Proceedings Of The Eleventh International Conference On Teaching Statistics,1
2012 Frontiers In Education Conference Proceedings,1
Graphics Interface 2014,1
Proceedings Of The Canadian Engineering Education Association Ceea,1
Proceedings Of The Second 2015 Acm Conference On Learning  Scale,1
Edulearn11 Proceedings,1
Proceedings Of The 2023 Conference On Innovation And Technology In Computer Science Education V 1,1
Acm 41St International Conference On Software Engineering,1
Proceedings Of The National Academy Of Sciences Of The United States Of America,1
15Th Annual Conference On Research In Undergraduate Mathematics Education,1
Intelligent Tutoring Systems,1
Proceedings Of The Vldb Endowment,1
Proceedings Of The 54Th Acm Technical Symposium On Computer Science Education V 1,1
Aip Conference Proceedings,1
Companion Proceeding Of The 9Th International Conference On Learning Analytics  Knowledge Lak19,1
Proceedings Of The Association For Information Science And Technology,1
"2013 Ieee International Symposium On Parallel  Distributed Processing, Workshops And Phd Forum",1
Entertainment Computing - Icec 2010,1
Proceedings Of The Seventeenth Western Canadian Conference On Computing Education,1
Proceedings Of The 16Th Western Canadian Conference On Computing Education,1
