Publication Type,Publication Year,Number of Publications
Journal Article,2000,1
Journal Article,2001,3
Journal Article,2002,1
Journal Article,2003,2
Journal Article,2004,1
Journal Article,2005,0
Journal Article,2006,3
Journal Article,2007,6
Journal Article,2008,1
Journal Article,2009,5
Journal Article,2010,8
Journal Article,2011,7
Journal Article,2012,7
Journal Article,2013,15
Journal Article,2014,26
Journal Article,2015,9
Journal Article,2016,19
Journal Article,2017,14
Journal Article,2018,6
Journal Article,2019,29
Journal Article,2020,13
Journal Article,2021,21
Journal Article,2022,15
Journal Article,2023,18
Journal Article,2024,0
Conference Paper/Proceeding,2000,1
Conference Paper/Proceeding,2001,1
Conference Paper/Proceeding,2002,6
Conference Paper/Proceeding,2003,1
Conference Paper/Proceeding,2004,1
Conference Paper/Proceeding,2005,1
Conference Paper/Proceeding,2006,1
Conference Paper/Proceeding,2007,0
Conference Paper/Proceeding,2008,5
Conference Paper/Proceeding,2009,6
Conference Paper/Proceeding,2010,7
Conference Paper/Proceeding,2011,8
Conference Paper/Proceeding,2012,8
Conference Paper/Proceeding,2013,12
Conference Paper/Proceeding,2014,17
Conference Paper/Proceeding,2015,12
Conference Paper/Proceeding,2016,2
Conference Paper/Proceeding,2017,5
Conference Paper/Proceeding,2018,10
Conference Paper/Proceeding,2019,16
Conference Paper/Proceeding,2020,15
Conference Paper/Proceeding,2021,10
Conference Paper/Proceeding,2022,17
Conference Paper/Proceeding,2023,20
Conference Paper/Proceeding,2024,1
Preprint,2000,0
Preprint,2001,0
Preprint,2002,0
Preprint,2003,0
Preprint,2004,0
Preprint,2005,0
Preprint,2006,0
Preprint,2007,0
Preprint,2008,0
Preprint,2009,0
Preprint,2010,0
Preprint,2011,0
Preprint,2012,0
Preprint,2013,0
Preprint,2014,0
Preprint,2015,0
Preprint,2016,1
Preprint,2017,0
Preprint,2018,0
Preprint,2019,0
Preprint,2020,0
Preprint,2021,3
Preprint,2022,0
Preprint,2023,3
Preprint,2024,0
Book,2000,0
Book,2001,0
Book,2002,0
Book,2003,0
Book,2004,0
Book,2005,0
Book,2006,0
Book,2007,0
Book,2008,0
Book,2009,0
Book,2010,0
Book,2011,0
Book,2012,0
Book,2013,0
Book,2014,0
Book,2015,0
Book,2016,1
Book,2017,1
Book,2018,1
Book,2019,2
Book,2020,0
Book,2021,0
Book,2022,0
Book,2023,0
Book,2024,0
Thesis,2000,0
Thesis,2001,0
Thesis,2002,0
Thesis,2003,0
Thesis,2004,1
Thesis,2005,0
Thesis,2006,0
Thesis,2007,0
Thesis,2008,0
Thesis,2009,0
Thesis,2010,1
Thesis,2011,0
Thesis,2012,0
Thesis,2013,0
Thesis,2014,1
Thesis,2015,0
Thesis,2016,0
Thesis,2017,1
Thesis,2018,2
Thesis,2019,0
Thesis,2020,0
Thesis,2021,0
Thesis,2022,0
Thesis,2023,0
Thesis,2024,0
Book Section,2000,0
Book Section,2001,0
Book Section,2002,0
Book Section,2003,0
Book Section,2004,0
Book Section,2005,0
Book Section,2006,0
Book Section,2007,0
Book Section,2008,0
Book Section,2009,0
Book Section,2010,0
Book Section,2011,0
Book Section,2012,0
Book Section,2013,0
Book Section,2014,0
Book Section,2015,0
Book Section,2016,0
Book Section,2017,0
Book Section,2018,0
Book Section,2019,2
Book Section,2020,5
Book Section,2021,0
Book Section,2022,1
Book Section,2023,2
Book Section,2024,0
Webpage,2000,0
Webpage,2001,0
Webpage,2002,0
Webpage,2003,0
Webpage,2004,0
Webpage,2005,0
Webpage,2006,0
Webpage,2007,0
Webpage,2008,0
Webpage,2009,0
Webpage,2010,0
Webpage,2011,0
Webpage,2012,0
Webpage,2013,0
Webpage,2014,0
Webpage,2015,0
Webpage,2016,0
Webpage,2017,0
Webpage,2018,0
Webpage,2019,2
Webpage,2020,0
Webpage,2021,2
Webpage,2022,0
Webpage,2023,3
Webpage,2024,0
Presentation,2000,0
Presentation,2001,0
Presentation,2002,0
Presentation,2003,1
Presentation,2004,0
Presentation,2005,0
Presentation,2006,0
Presentation,2007,0
Presentation,2008,0
Presentation,2009,0
Presentation,2010,0
Presentation,2011,0
Presentation,2012,0
Presentation,2013,1
Presentation,2014,1
Presentation,2015,0
Presentation,2016,0
Presentation,2017,0
Presentation,2018,0
Presentation,2019,0
Presentation,2020,0
Presentation,2021,0
Presentation,2022,0
Presentation,2023,0
Presentation,2024,0
